ID,BusinessCaseTypeName,Status,SubStatus,Overall_Status,CountryName,Region,SubRegion,G8_Countries,RequesterName,Date(DateCreated),Date(Response_Date_to_Affiliate),Date(Expected_Effective_Price_Date),CaseRational,CoordinatingLevel,ApprovalRoute,Channel_Type,Channel,ProductName,PackSize,Brand,DeliveryName,CurrencyName,RequestedPrice,CurrentPrice,NegotiatePrice,ApprovedPrice,Standard,U2Standard,FloorPrice,VsCurrentPrice,VsFloorPrice,Date(NegotiateDate),PriceTypeName,Reimbursement_Change,Date(Case_Validated_Date)
108,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,10/26/2020,11/25/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),CIMZIA/SYRINGE/2.00,2.00,CIMZIA,SYRINGE,CNY,"1,600.78",0.00,"1,600.78","1,600.78",0.00,200.10,0.00,0.00,0.00,12/10/2020,Net Price,Yes,12/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/BOTTLE/1.00,1.00,BRIVIACT,BOTTLE,EUR,242.70,136.20,242.70,242.70,136.20,242.70,0.00,78.19,0.00,9/16/2020,Gross Ex-Factory Price,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/BOTTLE/1.00,1.00,BRIVIACT,BOTTLE,EUR,264.54,150.50,264.54,264.54,150.50,264.54,0.00,75.77,0.00,9/16/2020,Gross Pharmacy Price,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/BOTTLE/1.00,1.00,BRIVIACT,BOTTLE,EUR,384.85,227.50,384.85,384.85,227.50,384.85,0.00,69.16,0.00,9/16/2020,Gross Public Price - Including VAT,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/BOTTLE/1.00,1.00,BRIVIACT,BOTTLE,EUR,242.70,0.00,242.70,242.70,0.00,242.70,0.00,0.00,0.00,9/16/2020,Net Price,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/TABLET/14.00,14.00,BRIVIACT,TABLET,EUR,41.86,21.54,41.86,41.86,21.54,41.86,0.00,94.34,0.00,9/16/2020,Gross Ex-Factory Price,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/TABLET/14.00,14.00,BRIVIACT,TABLET,EUR,47.09,24.23,47.09,47.09,24.23,47.09,0.00,94.35,0.00,9/16/2020,Gross Pharmacy Price,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/TABLET/14.00,14.00,BRIVIACT,TABLET,EUR,82.80,44.15,82.80,82.80,44.15,82.80,0.00,87.54,0.00,9/16/2020,Gross Public Price - Including VAT,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/TABLET/14.00,14.00,BRIVIACT,TABLET,EUR,41.86,0.00,41.86,41.86,0.00,41.86,0.00,0.00,0.00,9/16/2020,Net Price,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,167.44,121.99,167.44,167.44,121.99,167.44,0.00,37.26,0.00,9/16/2020,Gross Ex-Factory Price,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,185.02,134.80,185.02,185.02,134.80,185.02,0.00,37.26,0.00,9/16/2020,Gross Pharmacy Price,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,279.70,205.20,279.70,279.70,205.20,279.70,0.00,36.31,0.00,9/16/2020,Gross Public Price - Including VAT,No,9/7/2020
11,Price Change Core Brands,closed,validated,closed validated,AUSTRIA,Europe,Central Europe,NO,Barbara Anhofer-Siddig,7/2/2020,7/7/2020,8/1/2020,UCB initiated price change (Gross),LV5-GP - Head,Light,National,Private (Out of Pocket),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,167.44,0.00,167.44,167.44,0.00,167.44,0.00,0.00,0.00,9/16/2020,Net Price,No,9/7/2020
110,Price Change Core Brands,open,draft,open draft,UNITED ARAB EMIRATES,Int. Markets,MEA,NO,Nihan Pazarcioglu,10/27/2020,11/10/2020,11/13/2020,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),VIMPAT/VIAL/100.00,100.00,VIMPAT,VIAL,USD,114.09,230.29,,114.09,203.80,100.96,0.00,-50.46,0.00,,Cost Insurance and Freight (CIF),No,
110,Price Change Core Brands,open,draft,open draft,UNITED ARAB EMIRATES,Int. Markets,MEA,NO,Nihan Pazarcioglu,10/27/2020,11/10/2020,11/13/2020,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),VIMPAT/VIAL/100.00,100.00,VIMPAT,VIAL,USD,68.45,0.00,,68.45,0.00,60.58,0.00,0.00,0.00,,Net Price,No,
113,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),CIMZIA/SYRINGE/2.00,2.00,CIMZIA,SYRINGE,EUR,598.06,604.70,598.06,598.06,604.70,598.06,0.00,-1.10,0.00,12/10/2020,Gross Ex-Factory Price,Yes,11/13/2020
113,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),CIMZIA/SYRINGE/2.00,2.00,CIMZIA,SYRINGE,EUR,598.06,604.70,598.06,598.06,604.70,598.06,0.00,-1.10,0.00,12/10/2020,Net Price,Yes,11/13/2020
114,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),BRIVIACT/BOTTLE/300.00,300.00,BRIVIACT,BOTTLE,EUR,77.29,91.35,77.29,77.29,91.35,77.29,0.00,-15.39,0.00,12/10/2020,Gross Ex-Factory Price,Yes,11/13/2020
114,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),BRIVIACT/BOTTLE/300.00,300.00,BRIVIACT,BOTTLE,EUR,77.29,0.00,77.29,77.29,0.00,77.29,0.00,0.00,0.00,12/10/2020,Net Price,Yes,11/13/2020
114,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,68.56,72.52,68.56,68.56,72.52,68.56,0.00,-5.46,0.00,12/10/2020,Gross Ex-Factory Price,Yes,11/13/2020
114,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,72.52,72.55,72.52,72.52,72.55,72.52,0.00,-0.04,0.00,12/10/2020,Gross Ex-Factory Price,Yes,11/13/2020
114,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,68.56,72.52,68.56,68.56,72.52,68.56,0.00,-5.46,0.00,12/10/2020,Net Price,Yes,11/13/2020
114,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,72.52,72.55,72.52,72.52,72.55,72.52,0.00,-0.04,0.00,12/10/2020,Net Price,Yes,11/13/2020
115,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/28.00,28.00,NEUPRO,PATCH,EUR,52.66,57.93,52.66,52.66,57.93,52.66,0.00,-9.10,0.00,12/10/2020,Gross Ex-Factory Price,Yes,11/13/2020
115,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/28.00,28.00,NEUPRO,PATCH,EUR,68.06,72.96,68.06,68.06,72.96,68.06,0.00,-6.72,0.00,12/10/2020,Gross Ex-Factory Price,Yes,11/13/2020
115,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/28.00,28.00,NEUPRO,PATCH,EUR,83.63,85.50,83.63,83.63,85.50,83.63,0.00,-2.19,0.00,12/10/2020,Gross Ex-Factory Price,Yes,11/13/2020
115,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/28.00,28.00,NEUPRO,PATCH,EUR,52.66,0.00,52.66,52.66,0.00,52.66,0.00,0.00,0.00,12/10/2020,Net Price,Yes,11/13/2020
115,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/28.00,28.00,NEUPRO,PATCH,EUR,68.06,0.00,68.06,68.06,0.00,68.06,0.00,0.00,0.00,12/10/2020,Net Price,Yes,11/13/2020
115,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/28.00,28.00,NEUPRO,PATCH,EUR,83.63,85.50,83.63,83.63,85.50,83.63,0.00,-2.19,0.00,12/10/2020,Net Price,Yes,11/13/2020
115,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/7.00,7.00,NEUPRO,PATCH,EUR,10.10,10.33,10.10,10.10,10.33,10.10,0.00,-2.23,0.00,12/10/2020,Gross Ex-Factory Price,Yes,11/13/2020
115,Price Change Core Brands,closed,validated,closed validated,SLOVAKIA,Europe,East Europe,NO,Zille Poliakova,10/29/2020,11/9/2020,3/1/2021,Price review due to IRP,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/7.00,7.00,NEUPRO,PATCH,EUR,10.10,0.00,10.10,10.10,0.00,10.10,0.00,0.00,0.00,12/10/2020,Net Price,Yes,11/13/2020
116,Price Change Core Brands,closed,validated,closed validated,SWITZERLAND,Europe,Central Europe,NO,Edgar Quintero,10/30/2020,11/1/2020,11/1/2020,Other,LV5-GP - Head,Light,National,Public (Reimbursed),EVENITY/AUTO-INJECTOR/2.00,2.00,EVENITY,AUTO-INJECTOR,CHF,809.75,0.00,809.75,809.75,0.00,729.50,0.00,0.00,0.00,11/2/2020,Gross Ex-Factory Price,No,10/30/2020
116,Price Change Core Brands,closed,validated,closed validated,SWITZERLAND,Europe,Central Europe,NO,Edgar Quintero,10/30/2020,11/1/2020,11/1/2020,Other,LV5-GP - Head,Light,National,Public (Reimbursed),EVENITY/AUTO-INJECTOR/2.00,2.00,EVENITY,AUTO-INJECTOR,CHF,946.00,0.00,946.00,946.00,0.00,852.25,0.00,0.00,0.00,11/2/2020,Gross Public Price - Including VAT,No,10/30/2020
116,Price Change Core Brands,closed,validated,closed validated,SWITZERLAND,Europe,Central Europe,NO,Edgar Quintero,10/30/2020,11/1/2020,11/1/2020,Other,LV5-GP - Head,Light,National,Public (Reimbursed),EVENITY/AUTO-INJECTOR/2.00,2.00,EVENITY,AUTO-INJECTOR,CHF,809.75,0.00,809.75,809.75,0.00,729.50,0.00,0.00,0.00,11/2/2020,Net Price,No,10/30/2020
117,Price Change Core Brands,closed,validated,closed validated,TAIWAN,Int. Markets,Taiwan-Hong Kong,NO,Edwin Chiu,11/2/2020,11/2/2020,11/2/2020,Other,LV5-GP - Head,Light,National,Public (Reimbursed),CIMZIA/SYRINGE/1.00,1.00,CIMZIA,SYRINGE,TWD,"26,594.29","26,933.00","26,594.29","26,594.29",743.18,733.84,0.00,-1.26,0.00,11/6/2020,Gross Ex-Factory Price,No,11/2/2020
117,Price Change Core Brands,closed,validated,closed validated,TAIWAN,Int. Markets,Taiwan-Hong Kong,NO,Edwin Chiu,11/2/2020,11/2/2020,11/2/2020,Other,LV5-GP - Head,Light,National,Public (Reimbursed),CIMZIA/SYRINGE/1.00,1.00,CIMZIA,SYRINGE,TWD,"19,679.77",0.00,"19,679.77","19,679.77",0.00,543.04,0.00,0.00,0.00,11/6/2020,Net Price,No,11/2/2020
12,Price Change Core Brands,open,Approved,open Approved,ITALY,Europe,Italy,G8,Vincenzo Cilento,7/3/2020,7/31/2020,9/2/2020,Other,LV4-GP - Reviewer 2,Full,National,Public (Reimbursed),BRIVIACT/BOTTLE/300.00,300.00,BRIVIACT,BOTTLE,EUR,128.40,128.40,,128.40,128.40,128.40,0.00,0.00,0.00,,Gross Ex-Factory Price,Yes,1/28/2021
12,Price Change Core Brands,open,Approved,open Approved,ITALY,Europe,Italy,G8,Vincenzo Cilento,7/3/2020,7/31/2020,9/2/2020,Other,LV4-GP - Reviewer 2,Full,National,Public (Reimbursed),BRIVIACT/BOTTLE/300.00,300.00,BRIVIACT,BOTTLE,EUR,78.22,0.00,,78.22,0.00,78.22,0.00,0.00,0.00,,Net Price,Yes,1/28/2021
12,Price Change Core Brands,open,Approved,open Approved,ITALY,Europe,Italy,G8,Vincenzo Cilento,7/3/2020,7/31/2020,9/2/2020,Other,LV4-GP - Reviewer 2,Full,National,Public (Reimbursed),BRIVIACT/TABLET/14.00,14.00,BRIVIACT,TABLET,EUR,29.96,29.96,,29.96,29.96,29.96,0.00,0.00,0.00,,Gross Ex-Factory Price,Yes,1/28/2021
12,Price Change Core Brands,open,Approved,open Approved,ITALY,Europe,Italy,G8,Vincenzo Cilento,7/3/2020,7/31/2020,9/2/2020,Other,LV4-GP - Reviewer 2,Full,National,Public (Reimbursed),BRIVIACT/TABLET/14.00,14.00,BRIVIACT,TABLET,EUR,18.25,0.00,,18.25,0.00,18.25,0.00,0.00,0.00,,Net Price,Yes,1/28/2021
12,Price Change Core Brands,open,Approved,open Approved,ITALY,Europe,Italy,G8,Vincenzo Cilento,7/3/2020,7/31/2020,9/2/2020,Other,LV4-GP - Reviewer 2,Full,National,Public (Reimbursed),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,119.84,119.84,,119.84,119.84,119.84,0.00,0.00,0.00,,Gross Ex-Factory Price,Yes,1/28/2021
12,Price Change Core Brands,open,Approved,open Approved,ITALY,Europe,Italy,G8,Vincenzo Cilento,7/3/2020,7/31/2020,9/2/2020,Other,LV4-GP - Reviewer 2,Full,National,Public (Reimbursed),BRIVIACT/TABLET/56.00,56.00,BRIVIACT,TABLET,EUR,73.01,0.00,,73.01,0.00,73.01,0.00,0.00,0.00,,Net Price,Yes,1/28/2021
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/30.00,30.00,NEUPRO,PATCH,CNY,315.42,911.00,315.42,315.42,113.88,39.43,0.00,-65.38,0.00,12/10/2020,Gross Ex-Factory Price,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/30.00,30.00,NEUPRO,PATCH,CNY,473.14,"1,366.10",473.14,473.14,170.76,59.14,0.00,-65.37,0.00,12/10/2020,Gross Ex-Factory Price,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/30.00,30.00,NEUPRO,PATCH,CNY,630.85,"1,821.20",630.85,630.85,227.65,78.86,0.00,-65.36,0.00,12/10/2020,Gross Ex-Factory Price,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/30.00,30.00,NEUPRO,PATCH,CNY,393.60,0.00,393.60,393.60,0.00,49.20,0.00,0.00,0.00,12/10/2020,Gross Public Price - Including VAT,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/30.00,30.00,NEUPRO,PATCH,CNY,590.40,0.00,590.40,590.40,0.00,73.80,0.00,0.00,0.00,12/10/2020,Gross Public Price - Including VAT,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/30.00,30.00,NEUPRO,PATCH,CNY,787.20,0.00,787.20,787.20,0.00,98.40,0.00,0.00,0.00,12/10/2020,Gross Public Price - Including VAT,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/30.00,30.00,NEUPRO,PATCH,CNY,315.42,0.00,315.42,315.42,0.00,39.43,0.00,0.00,0.00,12/10/2020,Net Price,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/30.00,30.00,NEUPRO,PATCH,CNY,473.14,0.00,473.14,473.14,0.00,59.14,0.00,0.00,0.00,12/10/2020,Net Price,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/30.00,30.00,NEUPRO,PATCH,CNY,630.85,0.00,630.85,630.85,0.00,78.86,0.00,0.00,0.00,12/10/2020,Net Price,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/7.00,7.00,NEUPRO,PATCH,CNY,36.78,106.24,36.78,36.78,13.28,4.60,0.00,-65.36,0.00,12/10/2020,Gross Ex-Factory Price,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/7.00,7.00,NEUPRO,PATCH,CNY,73.57,212.49,73.57,73.57,26.56,9.20,0.00,-65.36,0.00,12/10/2020,Gross Ex-Factory Price,Yes,12/7/2020
120,Price Change Core Brands,closed,validated,closed validated,CHINA,China,China,G8,Lin Jiahui,11/6/2020,11/30/2020,1/1/2021,Inclusion in national drug reimbursement list,LV5-GP - Head,Light,National,Public (Reimbursed),NEUPRO/PATCH/7.00,7.00,NEUPRO,PATCH,CNY,45.90,0.00,45.90,45.90,0.00,5.74,0.00,0.00,0.00,12/10/2020,Gross Public Price - Including VAT,Yes,12/7/2020
